id,age,year,sitetype,site,Reading Group - Minutes,Story Wrtiting - Minutes
102688,8,2014,Branch,Korczak,102.925,23.166
102689,11,2014,Branch,Wang,36.61,53.35
102690,16,2015,Branch,Aiello,2.128,190.89
102691,13,2015,Branch,Tryad,88.754,42.3
102692,8,2015,Branch,Pallow,33.67,53.46
102693,11,2014,Branch,Dundy,132.486,31.939
102694,14,2014,Main,Nelson ,75.852,52.6
102695,13,2014,Branch,Korczak,51.192,188.963
102696,10,2014,Branch,Wang,71.314,5.782
102697,14,2014,Branch,Aiello,134.616,219.244
102698,12,2015,Branch,Tryad,75.776,4.556
102699,15,2014,Branch,Pallow,122.304,60.116
102700,17,2016,Branch,Dundy,124.188,37.884
102701,10,2016,Main,Nelson ,11.508,69.048
102702,12,2014,Branch,Korczak,93.3,59.572
102703,13,2014,Branch,Wang,81.675,66.564
102704,12,2016,Branch,Aiello,184.73,48.763
102705,12,2016,Branch,Tryad,16.872,49.113
102706,12,2014,Branch,Pallow,125.235,41.961
102707,14,2016,Branch,Dundy,9.048,50.544
102708,17,2014,Main,Nelson ,202.948,0.252
102709,11,2014,Branch,Korczak,9.581,58.014
102710,12,2015,Branch,Wang,37.233,39.55
102711,10,2014,Branch,Aiello,23.904,132.088
102712,10,2014,Branch,Tryad,98.82,84.824
102713,17,2014,Branch,Pallow,114.228,100.815
102714,10,2015,Branch,Dundy,128.856,46.774
102715,9,2015,Main,Nelson ,1.323,133.518
102716,11,2016,Branch,Korczak,35.952,1.76
102717,11,2014,Branch,Wang,121.352,115.7
102718,15,2014,Branch,Aiello,226.576,32.48
102719,17,2016,Branch,Tryad,60.409,7.95
102720,17,2014,Branch,Pallow,50.752,135.96
102721,9,2014,Branch,Dundy,177.008,9.625
102722,13,2014,Main,Nelson ,0,87.23
102723,16,2016,Branch,Korczak,105.198,73.073
102724,10,2016,Branch,Wang,0.952,23.32
102725,10,2015,Branch,Aiello,103.53,71.102
102726,11,2016,Branch,Tryad,4.104,34.242
102727,13,2014,Branch,Pallow,144.597,4.725
102728,13,2014,Branch,Dundy,33.33,29.67
102729,17,2015,Main,Nelson ,81.405,12.288
102730,16,2015,Branch,Korczak,5.064,5.13
102731,8,2015,Branch,Wang,41.756,7.458
102732,14,2014,Branch,Aiello,79.772,10.824
102733,14,2016,Branch,Tryad,66.636,25.2
102734,16,2014,Branch,Pallow,7.254,70.228
102735,13,2015,Branch,Dundy,112.125,97.704
102736,10,2014,Main,Nelson ,112.668,151.734
102737,15,2014,Branch,Korczak,57.792,43.056
102738,8,2015,Branch,Wang,1.155,96.664
102739,16,2015,Branch,Aiello,25.72,6.624
102740,11,2016,Branch,Tryad,160.911,0.79
102741,12,2015,Branch,Pallow,97.17,8.34
102742,9,2016,Branch,Dundy,55.986,48.208
102743,13,2015,Main,Nelson ,211.85,113.57
102744,8,2016,Branch,Korczak,28.539,108.919
102745,15,2016,Branch,Wang,48.48,161.406
102746,8,2015,Branch,Aiello,16.7,38.021
102747,8,2016,Branch,Tryad,39.984,106.652
102748,10,2016,Branch,Pallow,37.81,31.563
102749,10,2015,Branch,Dundy,47.685,32.263
102750,12,2015,Main,Nelson ,39.471,36.378
102751,11,2014,Branch,Korczak,100.89,24.975
102752,17,2015,Branch,Wang,54.954,43.245
102753,10,2016,Branch,Aiello,1.218,85.977
102754,13,2016,Branch,Tryad,74.295,105.28
102755,8,2014,Branch,Pallow,3.16,19.809
102756,17,2014,Branch,Dundy,24.108,8.134
102757,14,2014,Main,Nelson ,1.895,11.424
102758,13,2014,Branch,Korczak,5.952,7.077
102759,12,2014,Branch,Wang,7.645,8.325
102760,16,2016,Branch,Aiello,22.082,153.433
102761,11,2016,Branch,Tryad,16.65,31.174
102762,15,2015,Branch,Pallow,31.376,88.22
102763,11,2016,Branch,Dundy,9.45,41.013
102764,13,2016,Main,Nelson ,107.328,155.376
102765,14,2014,Branch,Korczak,48.792,59.469
102766,12,2015,Branch,Wang,55.998,96.2
102767,12,2014,Branch,Aiello,43.432,5.04
102768,15,2014,Branch,Tryad,98.256,34.38
102769,9,2016,Branch,Pallow,3.925,12.6
102770,9,2014,Branch,Dundy,21.333,41.302
102771,16,2016,Main,Nelson ,6.018,56.7
102772,11,2016,Branch,Korczak,18.972,19.654
102773,9,2014,Branch,Wang,19.479,127.677
102774,11,2014,Branch,Aiello,56.238,17.604
102775,16,2015,Branch,Tryad,33.341,5.535
102776,15,2014,Branch,Pallow,22.356,8.066
102777,13,2014,Branch,Dundy,8.576,139.308
102778,14,2016,Main,Nelson ,74.836,54.249
102779,17,2016,Branch,Korczak,7.64,19.952
102780,12,2016,Branch,Wang,7.956,10.044
102781,13,2014,Branch,Aiello,87.205,7.7
102782,8,2015,Branch,Tryad,62.396,13.125
102783,14,2014,Branch,Pallow,63.684,111.52
102784,8,2014,Branch,Dundy,100.576,8.67
102785,15,2016,Main,Nelson ,88.652,7.276
102786,8,2014,Branch,Korczak,61.512,127.058
102787,8,2015,Branch,Wang,5.916,0.208
102788,15,2016,Branch,Aiello,26.264,46.161
102789,16,2014,Branch,Tryad,63.468,160.928
102790,17,2016,Branch,Pallow,149.919,137.145
102791,14,2015,Branch,Dundy,66.78,120.984
102792,11,2015,Main,Nelson ,22.428,22.815
102793,15,2015,Branch,Korczak,203.404,81.648
102794,14,2015,Branch,Wang,7.744,61.41
102795,11,2015,Branch,Aiello,97.461,29.232
102796,11,2016,Branch,Tryad,31.717,2.079
102797,8,2014,Branch,Pallow,20.696,10.608
102798,8,2016,Branch,Dundy,1.904,1.419
102799,17,2015,Main,Nelson ,16.146,0
102800,12,2015,Branch,Korczak,53.406,73.781
102801,9,2016,Branch,Wang,103.872,123.402
102802,14,2014,Branch,Aiello,18.172,140.361
102803,10,2014,Branch,Tryad,61.842,80.64
102804,16,2014,Branch,Pallow,46.314,79.2
102805,16,2014,Branch,Dundy,90.9,7.128
102806,13,2015,Main,Nelson ,35.223,3.115
102807,9,2015,Branch,Korczak,2.982,180.594
102808,14,2015,Branch,Wang,88.365,72.292
102809,8,2015,Branch,Aiello,84.637,18.876
102810,12,2016,Branch,Tryad,25.812,22.48
102811,14,2015,Branch,Pallow,5.382,29.715
102812,17,2016,Branch,Dundy,54.288,93.5
102813,11,2016,Main,Nelson ,161.49,89.916
102814,9,2016,Branch,Korczak,2.128,18.684
102815,11,2014,Branch,Wang,2.28,73.248
102816,14,2015,Branch,Aiello,18.72,170
102817,14,2014,Branch,Tryad,160.06,1.808
102818,16,2015,Branch,Pallow,8.418,157.784
102819,12,2014,Branch,Dundy,64.03,7.224
102820,11,2016,Main,Nelson ,6.864,106.454
102821,9,2014,Branch,Korczak,170.403,56.115
102822,15,2014,Branch,Wang,112.746,61.074
102823,10,2015,Branch,Aiello,68.264,158.05
102824,13,2015,Branch,Tryad,38.178,67.032
102825,12,2014,Branch,Pallow,135.16,24.687
102826,14,2014,Branch,Dundy,90.783,23.829
102827,11,2015,Main,Nelson ,21.142,65.036
102828,17,2014,Branch,Korczak,25.668,10.752
